1564886666457|0.0.0
1564886666659|0.5.0
1564886666683|0.10.0
1564886666700|0.15.0
1564886666701|0.20.0
1564886666701|0.30.0
1564886666701|0.35.0
1564886666702|0.40.0
1564886666702|0.45.0
1564886666702|0.25.0
1564886666702|0.5.5
1564886666702|0.5.10
1564886666702|0.5.15
1564886666702|0.40.70
1564886666703|0.5.55
1564886666703|0.25.40
1564886666703|0.5.60
1564886666704|0.10.60
1564886666704|0.15.60
1564886666704|0.20.60
1564886666705|0.25.60
1564886666705|0.35.60
1564886666706|0.40.60
1564886666706|0.5.65
1564886666706|0.10.65
1564886666707|0.15.65
1564886666707|0.25.65
1564886666707|0.30.65
1564886666708|0.35.65
1564886666708|0.5.70
1564886666708|0.15.70
1564886666709|0.5.20
1564886666709|0.15.95
1564886666709|0.15.35
1564886666710|0.30.15
1564886666710|0.25.115
1564886666710|0.5.120
1564886666711|0.30.125
1564886666711|0.25.70
1564886666711|0.20.65
1564886666712|0.30.60
1564886666712|0.35.70
1564886666712|0.5.80
1564886666713|0.10.80
1564886666713|0.5.90
1564886666713|0.10.75
1564886666714|0.10.85
1564886666714|0.5.125
1564886666715|0.5.95
1564886666715|0.5.105
1564886666715|0.10.105
1564886666716|0.40.100
1564886666716|0.15.50
1564886666716|0.35.20
1564886666717|0.5.155
1564886666717|0.5.175
1564886666717|0.35.180
1564886666718|0.40.235
1564886666718|0.40.290
1564886666718|0.40.345
1564886666719|0.40.400
1564886666719|0.10.100
1564886666719|0.15.90
1564886666720|0.15.75
1564886666720|0.15.85
1564886666720|0.5.35
1564886666721|0.15.10
1564886666721|0.40.30
1564886666721|0.5.190
1564886666722|0.15.155
1564886666722|0.35.220
1564886666722|0.25.235
1564886666723|0.15.260
1564886666723|0.25.275
1564886666723|0.30.345
1564886666724|0.10.380
1564886666724|0.30.390
1564886666724|0.40.445
1564886666725|0.5.115
1564886666725|0.20.115
1564886666726|0.15.125
1564886666726|0.25.145
1564886666726|0.30.140
1564886666727|0.10.25
1564886666727|0.35.155
1564886666727|0.20.175
1564886666728|0.5.255
1564886666728|0.5.260
1564886666728|0.25.240
1564886666729|0.10.290
1564886666729|0.35.295
1564886666729|0.5.380
1564886666730|0.40.390
1564886666730|0.30.445
1564886666730|0.30.480
1564886666731|0.15.80
1564886666731|0.10.120
1564886666731|0.30.75
1564886666732|0.30.80
1564886666733|0.40.15
1564886666733|0.10.210
1564886666734|0.10.175
1564886666742|0.40.220
1564886666743|0.35.230
1564886666744|0.15.245
1564886666744|0.30.245
1564886666745|0.20.325
1564886666746|0.30.385
1564886666746|0.35.415
1564886666747|0.20.430
1564886666748|0.40.465
1564886666748|0.20.105
1564886666749|0.15.110
1564886666750|0.35.90
1564886666751|0.15.25
1564886666751|0.35.40
1564886666751|0.5.195
1564886666752|0.5.185
1564886666752|0.15.180
1564886666752|0.40.265
1564886666752|0.15.290
1564886666753|0.35.280
1564886666753|0.35.345
1564886666753|0.15.360
1564886666754|0.40.360
1564886666754|0.25.430
1564886666755|0.30.455
1564886666755|0.35.450
1564886666755|0.25.110
1564886666756|0.15.120
1564886666756|0.40.130
1564886666756|0.35.150
1564886666757|0.25.185
1564886666757|0.15.220
1564886666757|0.40.180
1564886666758|0.20.260
1564886666758|0.30.255
1564886666758|0.10.310
1564886666759|0.10.315
1564886666759|0.15.355
1564886666759|0.20.390
1564886666760|0.25.350
1564886666760|0.20.465
1564886666760|0.40.490
1564886666761|0.25.455
1564886666761|0.25.390
1564886666761|0.20.350
1564886666762|0.5.50
1564886666762|0.15.40
1564886666762|0.10.165
1564886666763|0.25.205
1564886666763|0.40.210
1564886666763|0.40.175
1564886666764|0.5.285
1564886666764|0.20.245
1564886666764|0.10.325
1564886666765|0.10.110
1564886666765|0.25.380
1564886666765|0.5.340
1564886666765|0.5.475
1564886666766|0.40.410
1564886666766|0.15.460
1564886666767|0.25.120
1564886666767|0.5.45
1564886666767|0.25.20
1564886666767|0.15.100
1564886666768|0.30.200
1564886666768|0.40.160
1564886666768|0.10.235
1564886666769|0.5.290
1564886666769|0.15.250
1564886666769|0.10.345
1564886666770|0.20.330
1564886666770|0.20.365
1564886666771|0.35.380
1564886666771|0.35.425
1564886666771|0.40.470
1564886666772|0.25.125
1564886666772|0.35.485
1564886666772|0.10.135
1564886666773|0.10.15
1564886666773|0.25.15
1564886666773|0.40.40
1564886666773|0.35.205
1564886666774|0.30.210
1564886666774|0.5.215
1564886666774|0.10.250
1564886666775|0.5.240
1564886666775|0.5.330
1564886666775|0.25.340
1564886666776|0.10.370
1564886666776|0.25.400
1564886666776|0.20.475
1564886666777|0.15.485
1564886666777|0.35.475
1564886666777|0.20.110
1564886666778|0.25.85
1564886666778|0.25.150
1564886666778|0.10.90
1564886666779|0.40.110
1564886666780|0.30.160
1564886666780|0.15.215
1564886666781|0.5.235
1564886666781|0.15.200
1564886666782|0.25.290
1564886666782|0.10.305
1564886666782|0.35.330
1564886666783|0.5.390
1564886666783|0.15.385
1564886666783|0.30.435
1564886666784|0.10.485
1564886666784|0.10.460
1564886666784|0.20.80
1564886666785|0.25.100
1564886666785|0.20.125
1564886666785|0.15.15
1564886666786|0.30.50
1564886666786|0.5.160
1564886666786|0.20.185
1564886666787|0.20.165
